mun6d00,name
110001,Alta Floresta d'Oeste (RO)
110002,Ariquemes (RO)
110003,Cabixi (RO)
110004,Cacoal (RO)
110005,Cerejeiras (RO)
110006,Colorado do Oeste (RO)
110007,Corumbiara (RO)
110008,Costa Marques (RO)
110009,Espigão d'Oeste (RO)
110010,Guajará-Mirim (RO)
110011,Jaru (RO)
110012,Ji-Paraná (RO)
110013,Machadinho d'Oeste (RO)
110014,Nova Brasilândia d'Oeste (RO)
110015,Ouro Preto do Oeste (RO)
110018,Pimenta Bueno (RO)
110020,Porto Velho (RO)
110025,Presidente Médici (RO)
110026,Rio Crespo (RO)
110028,Rolim de Moura (RO)
110029,Santa Luzia d'Oeste (RO)
110030,Vilhena (RO)
110032,São Miguel do Guaporé (RO)
110033,Nova Mamoré (RO)
110034,Alvorada d'Oeste (RO)
110037,Alto Alegre do Parecis (RO)
110040,Alto Paraíso (RO)
110045,Buritis (RO)
110050,Novo Horizonte do Oeste (RO)
110060,Cacaulândia (RO)
110070,Campo Novo de Rondônia (RO)
110080,Candeias do Jamari (RO)
110090,Castanheiras (RO)
110092,Chupinguaia (RO)
110094,Cujubim (RO)
110100,Governador Jorge Teixeira (RO)
110110,Jamari (RO)
110120,Ministro Andreazza (RO)
110130,Mirante da Serra (RO)
110140,Monte Negro (RO)
110143,Nova União (RO)
110145,Parecis (RO)
110146,Pimenteiras do Oeste (RO)
110147,Primavera de Rondônia (RO)
110148,São Felipe d'Oeste (RO)
110149,São Francisco do Guaporé (RO)
110150,Seringueiras (RO)
110155,Teixeirópolis (RO)
110160,Theobroma (RO)
110170,Urupá (RO)
110175,Vale do Anari (RO)
110180,Vale do Paraíso (RO)
120001,Acrelândia (AC)
120005,Assis Brasil (AC)
120010,Brasiléia (AC)
120013,Bujari (AC)
120017,Capixaba (AC)
120020,Cruzeiro do Sul (AC)
120025,Epitaciolândia (AC)
120030,Feijó (AC)
120032,Jordão (AC)
120033,Mâncio Lima (AC)
120034,Manoel Urbano (AC)
120035,Marechal Thaumaturgo (AC)
120038,Plácido de Castro (AC)
120039,Porto Walter (AC)
120040,Rio Branco (AC)
120042,Rodrigues Alves (AC)
120043,Santa Rosa do Purus (AC)
120045,Senador Guiomard (AC)
120050,Sena Madureira (AC)
120060,Tarauacá (AC)
120070,Xapuri (AC)
120080,Porto Acre (AC)
130002,Alvarães (AM)
130006,Amaturá (AM)
130008,Anamã (AM)
130010,Anori (AM)
130014,Apuí (AM)
130020,Atalaia do Norte (AM)
130030,Autazes (AM)
130040,Barcelos (AM)
130050,Barreirinha (AM)
130060,Benjamin Constant (AM)
130063,Beruri (AM)
130068,Boa Vista do Ramos (AM)
130070,Boca do Acre (AM)
130080,Borba (AM)
130083,Caapiranga (AM)
130090,Canutama (AM)
130100,Carauari (AM)
130110,Careiro (AM)
130115,Careiro da Várzea (AM)
130120,Coari (AM)
130130,Codajás (AM)
130140,Eirunepé (AM)
130150,Envira (AM)
130160,Fonte Boa (AM)
130165,Guajará (AM)
130170,Humaitá (AM)
130180,Ipixuna (AM)
130185,Iranduba (AM)
130190,Itacoatiara (AM)
130195,Itamarati (AM)
130200,Itapiranga (AM)
130210,Japurá (AM)
130220,Juruá (AM)
130230,Jutaí (AM)
130240,Lábrea (AM)
130250,Manacapuru (AM)
130255,Manaquiri (AM)
130260,Manaus (AM)
130270,Manicoré (AM)
130280,Maraã (AM)
130290,Maués (AM)
130300,Nhamundá (AM)
130310,Nova Olinda do Norte (AM)
130320,Novo Airão (AM)
130330,Novo Aripuanã (AM)
130340,Parintins (AM)
130350,Pauini (AM)
130353,Presidente Figueiredo (AM)
130356,Rio Preto da Eva (AM)
130360,Santa Isabel do Rio Negro (AM)
130370,Santo Antônio do Içá (AM)
130380,São Gabriel da Cachoeira (AM)
130390,São Paulo de Olivença (AM)
130395,São Sebastião do Uatumã (AM)
130400,Silves (AM)
130406,Tabatinga (AM)
130410,Tapauá (AM)
130420,Tefé (AM)
130423,Tonantins (AM)
130426,Uarini (AM)
130430,Urucará (AM)
130440,Urucurituba (AM)
140002,Amajari (RR)
140005,Alto Alegre (RR)
140010,Boa Vista (RR)
140015,Bonfim (RR)
140017,Cantá (RR)
140020,Caracaraí (RR)
140023,Caroebe (RR)
140028,Iracema (RR)
140030,Mucajaí (RR)
140040,Normandia (RR)
140045,Pacaraima (RR)
140047,Rorainópolis (RR)
140050,São João da Baliza (RR)
140060,São Luiz (RR)
140070,Uiramutã (RR)
150010,Abaetetuba (PA)
150013,Abel Figueiredo (PA)
150020,Acará (PA)
150030,Afuá (PA)
150034,Água Azul do Norte (PA)
150040,Alenquer (PA)
150050,Almeirim (PA)
150060,Altamira (PA)
150070,Anajás (PA)
150080,Ananindeua (PA)
150085,Anapu (PA)
150090,Augusto Corrêa (PA)
150095,Aurora do Pará (PA)
150100,Aveiro (PA)
150110,Bagre (PA)
150120,Baião (PA)
150125,Bannach (PA)
150130,Barcarena (PA)
150140,Belém (PA)
150145,Belterra (PA)
150150,Benevides (PA)
150157,Bom Jesus do Tocantins (PA)
150160,Bonito (PA)
150170,Bragança (PA)
150172,Brasil Novo (PA)
150175,Brejo Grande do Araguaia (PA)
150178,Breu Branco (PA)
150180,Breves (PA)
150190,Bujaru (PA)
150195,Cachoeira do Piriá (PA)
150200,Cachoeira do Arari (PA)
150210,Cametá (PA)
150215,Canaã dos Carajás (PA)
150220,Capanema (PA)
150230,Capitão Poço (PA)
150240,Castanhal (PA)
150250,Chaves (PA)
150260,Colares (PA)
150270,Conceição do Araguaia (PA)
150275,Concórdia do Pará (PA)
150276,Cumaru do Norte (PA)
150277,Curionópolis (PA)
150280,Curralinho (PA)
150285,Curuá (PA)
150290,Curuçá (PA)
150293,Dom Eliseu (PA)
150295,Eldorado dos Carajás (PA)
150300,Faro (PA)
150304,Floresta do Araguaia (PA)
150307,Garrafão do Norte (PA)
150309,Goianésia do Pará (PA)
150310,Gurupá (PA)
150320,Igarapé-Açu (PA)
150330,Igarapé-Miri (PA)
150340,Inhangapi (PA)
150345,Ipixuna do Pará (PA)
150350,Irituia (PA)
150360,Itaituba (PA)
150370,Itupiranga (PA)
150375,Jacareacanga (PA)
150380,Jacundá (PA)
150390,Juruti (PA)
150400,Limoeiro do Ajuru (PA)
150405,Mãe do Rio (PA)
150410,Magalhães Barata (PA)
150420,Marabá (PA)
150430,Maracanã (PA)
150440,Marapanim (PA)
150442,Marituba (PA)
150445,Medicilândia (PA)
150450,Melgaço (PA)
150460,Mocajuba (PA)
150470,Moju (PA)
150480,Monte Alegre (PA)
150490,Muaná (PA)
150495,Nova Esperança do Piriá (PA)
150497,Nova Ipixuna (PA)
150500,Nova Timboteua (PA)
150503,Novo Progresso (PA)
150506,Novo Repartimento (PA)
150510,Óbidos (PA)
150520,Oeiras do Pará (PA)
150530,Oriximiná (PA)
150540,Ourém (PA)
150543,Ourilândia do Norte (PA)
150548,Pacajá (PA)
150549,Palestina do Pará (PA)
150550,Paragominas (PA)
