VECTOR,OCCURRENCE_ID,SOURCE_TYPE,LOCATION_TYPE,POLYGON_ADMIN,Y,X,YEAR,COUNTRY,COUNTRY_ID,GAUL_AD0,STATUS
Aedes albopictus,1,unpublished,point,-999,37.086981,-121.583333,2001,United States of America,USA,259,NA
Aedes albopictus,2,unpublished,point,-999,34.083129,-118.083333,2001,United States of America,USA,259,NA
Aedes albopictus,3,unpublished,point,-999,38.08333,-121.25,2001,United States of America,USA,259,NA
Aedes albopictus,4,unpublished,point,-999,37.083324,-121.583333,2001,United States of America,USA,259,NA
Aedes albopictus,5,unpublished,point,-999,34.083586,-118.25,2001,United States of America,USA,259,NA
Aedes albopictus,6,unpublished,point,-999,34.08771,-117.916667,2001,United States of America,USA,259,NA
Aedes albopictus,7,unpublished,point,-999,34.088792,-117.75,2001,United States of America,USA,259,NA
Aedes albopictus,8,unpublished,point,-999,33.916604,-117.916667,2001,United States of America,USA,259,NA
Aedes albopictus,9,unpublished,point,-999,33.789088,-117.916667,2001,United States of America,USA,259,NA
Aedes albopictus,10,unpublished,point,-999,33.583171,-117.916667,2001,United States of America,USA,259,NA
Aedes albopictus,11,unpublished,point,-999,33.252454,-117.25,2001,United States of America,USA,259,NA
Aedes albopictus,12,unpublished,point,-999,34.083311,-118.083333,2001,United States of America,USA,259,NA
Aedes albopictus,13,unpublished,point,-999,34.088792,-117.75,2002,United States of America,USA,259,NA
Aedes albopictus,14,unpublished,point,-999,34.083311,-118.083333,2002,United States of America,USA,259,NA
Aedes albopictus,15,unpublished,point,-999,33.916604,-117.916667,2002,United States of America,USA,259,NA
Aedes albopictus,16,unpublished,point,-999,34.08771,-117.916667,2011,United States of America,USA,259,NA
Aedes albopictus,17,unpublished,point,-999,34.083311,-118.083333,2011,United States of America,USA,259,NA
Aedes albopictus,18,unpublished,point,-999,34.083311,-118.083333,2012,United States of America,USA,259,NA
Aedes albopictus,19,unpublished,point,-999,34.083311,-118.083333,2013,United States of America,USA,259,NA
Aedes albopictus,20,unpublished,point,-999,34.083311,-118.083333,2014,United States of America,USA,259,NA
Aedes albopictus,21,unpublished,polygon,2,-30.93,-51.83,2014,Brazil,BRA,37,NA
Aedes albopictus,22,unpublished,polygon,2,-30.68,-51.45,2014,Brazil,BRA,37,NA
Aedes albopictus,23,unpublished,polygon,2,-30.46,-51.64,2014,Brazil,BRA,37,NA
Aedes albopictus,24,unpublished,polygon,2,-30.43,-51.79,2014,Brazil,BRA,37,NA
Aedes albopictus,25,unpublished,polygon,2,-30.37,-51.32,2014,Brazil,BRA,37,NA
Aedes albopictus,26,unpublished,polygon,2,-30.34,-54.37,2014,Brazil,BRA,37,NA
Aedes albopictus,27,unpublished,polygon,2,-30.29,-51.89,2014,Brazil,BRA,37,NA
Aedes albopictus,28,unpublished,polygon,2,-30.24,-52.98,2014,Brazil,BRA,37,NA
Aedes albopictus,29,unpublished,polygon,2,-30.21,-53.55,2014,Brazil,BRA,37,NA
Aedes albopictus,30,unpublished,polygon,2,-30.21,-50.87,2014,Brazil,BRA,37,NA
Aedes albopictus,31,unpublished,polygon,2,-30.18,-51.74,2014,Brazil,BRA,37,NA
Aedes albopictus,32,unpublished,polygon,2,-30.17,-51.44,2014,Brazil,BRA,37,NA
Aedes albopictus,33,unpublished,polygon,2,-30.1,-51.16,2014,Brazil,BRA,37,NA
Aedes albopictus,34,unpublished,polygon,2,-30.08,-51.48,2014,Brazil,BRA,37,NA
Aedes albopictus,35,unpublished,polygon,2,-30.07,-52.07,2014,Brazil,BRA,37,NA
Aedes albopictus,36,unpublished,polygon,2,-30,-51.06,2014,Brazil,BRA,37,NA
Aedes albopictus,37,unpublished,polygon,2,-30,-51.56,2014,Brazil,BRA,37,NA
Aedes albopictus,38,unpublished,polygon,2,-29.94,-50.12,2014,Brazil,BRA,37,NA
Aedes albopictus,39,unpublished,polygon,2,-29.92,-51.18,2014,Brazil,BRA,37,NA
Aedes albopictus,40,unpublished,polygon,2,-29.91,-50.26,2014,Brazil,BRA,37,NA
Aedes albopictus,41,unpublished,polygon,2,-29.89,-50.96,2014,Brazil,BRA,37,NA
Aedes albopictus,42,unpublished,polygon,2,-29.86,-50.56,2014,Brazil,BRA,37,NA
Aedes albopictus,43,unpublished,polygon,2,-29.85,-51.17,2014,Brazil,BRA,37,NA
Aedes albopictus,44,unpublished,polygon,2,-29.85,-51.28,2014,Brazil,BRA,37,NA
Aedes albopictus,45,unpublished,polygon,2,-29.83,-52.12,2014,Brazil,BRA,37,NA
Aedes albopictus,46,unpublished,polygon,2,-29.82,-51.13,2014,Brazil,BRA,37,NA
Aedes albopictus,47,unpublished,polygon,2,-29.81,-51.51,2014,Brazil,BRA,37,NA
Aedes albopictus,48,unpublished,polygon,2,-29.81,-54.14,2014,Brazil,BRA,37,NA
Aedes albopictus,49,unpublished,polygon,2,-29.8,-53.32,2014,Brazil,BRA,37,NA
Aedes albopictus,50,unpublished,polygon,2,-29.78,-53.82,2014,Brazil,BRA,37,NA
Aedes albopictus,51,unpublished,polygon,2,-29.75,-52.99,2014,Brazil,BRA,37,NA
Aedes albopictus,52,unpublished,polygon,2,-29.74,-51.14,2014,Brazil,BRA,37,NA
Aedes albopictus,53,unpublished,polygon,2,-29.74,-51.84,2014,Brazil,BRA,37,NA
Aedes albopictus,54,unpublished,polygon,2,-29.73,-51.06,2014,Brazil,BRA,37,NA
Aedes albopictus,55,unpublished,polygon,2,-29.73,-52.54,2014,Brazil,BRA,37,NA
Aedes albopictus,56,unpublished,polygon,2,-29.71,-52.78,2014,Brazil,BRA,37,NA
Aedes albopictus,57,unpublished,polygon,2,-29.71,-51.37,2014,Brazil,BRA,37,NA
Aedes albopictus,58,unpublished,polygon,2,-29.71,-51.51,2014,Brazil,BRA,37,NA
Aedes albopictus,59,unpublished,polygon,2,-29.71,-53.13,2014,Brazil,BRA,37,NA
Aedes albopictus,60,unpublished,polygon,2,-29.69,-54.8,2014,Brazil,BRA,37,NA
Aedes albopictus,61,unpublished,polygon,2,-29.69,-51.25,2014,Brazil,BRA,37,NA
Aedes albopictus,62,unpublished,polygon,2,-29.67,-51.05,2014,Brazil,BRA,37,NA
Aedes albopictus,63,unpublished,polygon,2,-29.66,-50.86,2014,Brazil,BRA,37,NA
Aedes albopictus,64,unpublished,polygon,2,-29.65,-51.18,2014,Brazil,BRA,37,NA
Aedes albopictus,65,unpublished,polygon,2,-29.65,-52.43,2014,Brazil,BRA,37,NA
Aedes albopictus,66,unpublished,polygon,2,-29.64,-50.93,2014,Brazil,BRA,37,NA
Aedes albopictus,67,unpublished,polygon,2,-29.64,-50.56,2014,Brazil,BRA,37,NA
Aedes albopictus,68,unpublished,polygon,2,-29.63,-50.77,2014,Brazil,BRA,37,NA
Aedes albopictus,69,unpublished,polygon,2,-29.63,-52.99,2014,Brazil,BRA,37,NA
Aedes albopictus,70,unpublished,polygon,2,-29.62,-50.19,2014,Brazil,BRA,37,NA
Aedes albopictus,71,unpublished,polygon,2,-29.62,-51,2014,Brazil,BRA,37,NA
Aedes albopictus,72,unpublished,polygon,2,-29.6,-54.24,2014,Brazil,BRA,37,NA
Aedes albopictus,73,unpublished,polygon,2,-29.6,-51.09,2014,Brazil,BRA,37,NA
Aedes albopictus,74,unpublished,polygon,2,-29.59,-50.9,2014,Brazil,BRA,37,NA
Aedes albopictus,75,unpublished,polygon,2,-29.59,-51.84,2014,Brazil,BRA,37,NA
Aedes albopictus,76,unpublished,polygon,2,-29.59,-51.16,2014,Brazil,BRA,37,NA
Aedes albopictus,77,unpublished,polygon,2,-29.58,-51.34,2014,Brazil,BRA,37,NA
Aedes albopictus,78,unpublished,polygon,2,-29.58,-51.73,2014,Brazil,BRA,37,NA
Aedes albopictus,79,unpublished,polygon,2,-29.57,-50.8,2014,Brazil,BRA,37,NA
Aedes albopictus,80,unpublished,polygon,2,-29.55,-52.2,2014,Brazil,BRA,37,NA
Aedes albopictus,81,unpublished,polygon,2,-29.55,-52.04,2014,Brazil,BRA,37,NA
Aedes albopictus,82,unpublished,polygon,2,-29.55,-54.45,2014,Brazil,BRA,37,NA
Aedes albopictus,83,unpublished,polygon,2,-29.55,-51.55,2014,Brazil,BRA,37,NA
Aedes albopictus,84,unpublished,polygon,2,-29.54,-51.63,2014,Brazil,BRA,37,NA
Aedes albopictus,85,unpublished,polygon,2,-29.54,-51.24,2014,Brazil,BRA,37,NA
Aedes albopictus,86,unpublished,polygon,2,-29.49,-49.96,2014,Brazil,BRA,37,NA
Aedes albopictus,87,unpublished,polygon,2,-29.47,-50.78,2014,Brazil,BRA,37,NA
Aedes albopictus,88,unpublished,polygon,2,-29.47,-54.64,2014,Brazil,BRA,37,NA
Aedes albopictus,89,unpublished,polygon,2,-29.47,-51.77,2014,Brazil,BRA,37,NA
