week,country_territory,current_zika_transmission,zika_transmission_in_past_9_mnths
29-Apr-16,American Samoa,Increasing or widespread transmission,Yes
29-Apr-16,Aruba,Increasing or widespread transmission,Yes
29-Apr-16,Barbados,Increasing or widespread transmission,Yes
29-Apr-16,Belize,Sporadic transmission,Yes
29-Apr-16,Bolivia,Increasing or widespread transmission,Yes
29-Apr-16,Bonaire,Sporadic transmission,Yes
29-Apr-16,Brazil,Increasing or widespread transmission,Yes
29-Apr-16,Cape Verde,Increasing or widespread transmission,Yes
29-Apr-16,Colombia,Increasing or widespread transmission,Yes
29-Apr-16,Costa Rica,Increasing or widespread transmission,Yes
29-Apr-16,Cuba,Sporadic transmission,Yes
29-Apr-16,Curaçao,Increasing or widespread transmission,Yes
29-Apr-16,Dominica,Sporadic transmission,Yes
29-Apr-16,Dominican Republic,Increasing or widespread transmission,Yes
29-Apr-16,Ecuador,Increasing or widespread transmission,Yes
29-Apr-16,El Salvador,Increasing or widespread transmission,Yes
29-Apr-16,Fiji,Increasing or widespread transmission,Yes
29-Apr-16,French Guiana,Increasing or widespread transmission,Yes
29-Apr-16,Guadeloupe,Increasing or widespread transmission,Yes
29-Apr-16,Guatemala,Increasing or widespread transmission,Yes
29-Apr-16,Guyana,Increasing or widespread transmission,Yes
29-Apr-16,Haiti,Increasing or widespread transmission,Yes
29-Apr-16,Honduras,Increasing or widespread transmission,Yes
29-Apr-16,Jamaica,Sporadic transmission,Yes
29-Apr-16,Kosraeæ,Sporadic transmission,Yes
29-Apr-16,Marshall Islandsæ,Increasing or widespread transmission,Yes
29-Apr-16,Martinique,Increasing or widespread transmission,Yes
29-Apr-16,Mexico,Increasing or widespread transmission,Yes
29-Apr-16,New Caledonia,Sporadic transmission,Yes
29-Apr-16,Nicaragua,Increasing or widespread transmission,Yes
29-Apr-16,Panama,Increasing or widespread transmission,Yes
29-Apr-16,Papua New Guinea,Sporadic transmission,Yes
29-Apr-16,Paraguay,No,Yes
29-Apr-16,Philippines,Sporadic transmission,Yes
29-Apr-16,Puerto Rico,Increasing or widespread transmission,Yes
29-Apr-16,Saint Lucia,Sporadic transmission,Yes
29-Apr-16,Saint Martin,Increasing or widespread transmission,Yes
29-Apr-16,Saint Vincent and the Grenadines,No,Yes
29-Apr-16,Saint-Barth_lemy,Sporadic transmission,Yes
29-Apr-16,Samoa,Increasing or widespread transmission,Yes
29-Apr-16,Sint Maarten,Sporadic transmission,Yes
29-Apr-16,Suriname,Increasing or widespread transmission,Yes
29-Apr-16,Thailand,No,Yes
29-Apr-16,Tonga,Increasing or widespread transmission,Yes
29-Apr-16,Trinidad and Tobago,Increasing or widespread transmission,Yes
29-Apr-16,US Virgin Islands,Increasing or widespread transmission,Yes
29-Apr-16,Venezuela,Increasing or widespread transmission,Yes
29-Apr-16,Vietnam,Increasing or widespread transmission,Yes
22-Apr-16,American Samoa,Increasing or widespread transmission,Yes
22-Apr-16,Aruba,Increasing or widespread transmission,Yes
22-Apr-16,Barbados,Increasing or widespread transmission,Yes
22-Apr-16,Belize,Sporadic transmission,Yes
22-Apr-16,Bolivia,Increasing or widespread transmission,Yes
22-Apr-16,Brazil,Increasing or widespread transmission,Yes
22-Apr-16,Bonaire,Sporadic transmission,Yes
22-Apr-16,Cape Verde,Increasing or widespread transmission,Yes
22-Apr-16,Colombia,Increasing or widespread transmission,Yes
22-Apr-16,Cuba,Sporadic transmission,Yes
22-Apr-16,Costa Rica,Increasing or widespread transmission,Yes
22-Apr-16,Curaçao,Increasing or widespread transmission,Yes
22-Apr-16,Dominica,Sporadic transmission,Yes
22-Apr-16,Dominican Republic,Increasing or widespread transmission,Yes
22-Apr-16,Ecuador,Increasing or widespread transmission,Yes
22-Apr-16,El Salvador,Increasing or widespread transmission,Yes
22-Apr-16,Fiji,Increasing or widespread transmission,Yes
22-Apr-16,French Guiana,Increasing or widespread transmission,Yes
22-Apr-16,Guadeloupe,Increasing or widespread transmission,Yes
22-Apr-16,Guatemala,Increasing or widespread transmission,Yes
22-Apr-16,Guyana,Increasing or widespread transmission,Yes
22-Apr-16,Haiti,Increasing or widespread transmission,Yes
22-Apr-16,Honduras,Increasing or widespread transmission,Yes
22-Apr-16,Jamaica,Sporadic transmission,Yes
22-Apr-16,Kosraeæ,Sporadic transmission,Yes
22-Apr-16,Marshall Islandsæ,Increasing or widespread transmission,Yes
22-Apr-16,Martinique,Increasing or widespread transmission,Yes
22-Apr-16,Mexico,Increasing or widespread transmission,Yes
22-Apr-16,New Caledonia,Sporadic transmission,Yes
22-Apr-16,Nicaragua,Increasing or widespread transmission,Yes
22-Apr-16,Panama,Increasing or widespread transmission,Yes
22-Apr-16,Papua New Guinea,Sporadic transmission,Yes
22-Apr-16,Paraguay,No,Yes
22-Apr-16,Philippines,Sporadic transmission,Yes
22-Apr-16,Puerto Rico,Increasing or widespread transmission,Yes
22-Apr-16,Saint Lucia,Sporadic transmission,Yes
22-Apr-16,Saint Martin,Increasing or widespread transmission,Yes
22-Apr-16,Saint Vincent and the Grenadines,Sporadic transmission,Yes
22-Apr-16,Samoa,Increasing or widespread transmission,Yes
22-Apr-16,Sint Maarten,Sporadic transmission,Yes
22-Apr-16,Solomon Islands,No,Yes
22-Apr-16,Suriname,Increasing or widespread transmission,Yes
22-Apr-16,Thailand,No,Yes
22-Apr-16,Tonga,Increasing or widespread transmission,Yes
22-Apr-16,Trinidad and Tobago,Increasing or widespread transmission,Yes
22-Apr-16,Vanuatu,No,Yes
22-Apr-16,Venezuela,Increasing or widespread transmission,Yes
22-Apr-16,Vietnam,Increasing or widespread transmission,Yes
22-Apr-16,US Virgin Islands,Increasing or widespread transmission,Yes
15-Apr-16,American Samoa,Increasing or widespread transmission,Yes
15-Apr-16,Aruba,Sporadic transmission,Yes
15-Apr-16,Barbados,Increasing or widespread transmission,Yes
15-Apr-16,Belize,Sporadic transmission,Yes
15-Apr-16,Bolivia,Increasing or widespread transmission,Yes
15-Apr-16,Brazil,Increasing or widespread transmission,Yes
15-Apr-16,Bonaire,No,Yes
15-Apr-16,Cape Verde,Increasing or widespread transmission,Yes
